Room,🏢,Overall,🌄,🔌,🪑,#,,📽,Notes,apiNamen
M1208C,Maskin,"3,6",4,3,4,13 av 8,1,FALSE,"Lite större rum, ganska nice, men lite stökigt med så många stolar och även dålig chargability"
SB-G510,SB,"3,6",4,4,3,8 av 6,1,FALSE,"Kortläsare, ett litet bord för 2 ingår, 2 eluttag funkar inte vilket drar ner på chargability"
Svea227,Svea,"3,6",4,4,5,12 av 8,1,FALSE,"Soffa, fönster som inte går att stänga, akustikskärm ingår, kontorsstolar, lite wierd färg, dimbart ljus"
Turing,Bibliotek,"3,5",4,5,4,5,1,FALSE,"Inne i tysta lässalen i biblioteket, litet runt bord, liten whiteboard, man får inte prata för högt, något kallt, trångt om man är fler än 2 med dator"
EG-3209A/B,Edit,"3,5",4,4,4,12 av 4*2,1,FALSE,"3 bra stolar, 9 average EDIT, observera att det INTE FINNS DRAPERI (-0,5 i rating) så om man ska sitta här rekommenderas att boka båda halvorna. I övrigt väldigt nice grupprum"
EG-4207A/B,Edit,"3,5",4,5,2,6,1,FALSE,"Delat rum, mörkblå drapperier, notera att det är 4 platser i 6 persons rum. Ena sidan har bänkar, wack"
F4113,Fysik,"3,5",4,4,5,8,2,FALSE,"Fågelkvitter, kan öppna fönster, tyvärr kan det bli mycket ljud från korridoren där det finns sittplatser, fläktrum som det surrar ifrån"
M1205,Maskin,"3,5",3,4,3,5 av 6,2,FALSE,"Vattenflaska ingår, reklam om bibelstudier, fönster både ut och in som man inte blir störd av fast lite tråkig utsikt, hyfsat isolerat men ändå inte instängt"
M1206B,Maskin,"3,5",4,4,4,5 av 6,1,FALSE,"Massor av fönster, 3 sidor, en in mot annat grupprum (på långsida så man sitter inte bredvid som i vissa rum) en mot formula student bilen och en ut i korridoren."
M1215A,Maskin,"3,5",4,4,4,5 av 6,1,FALSE,"Lite för öppet till de andra grupprummen, 3 sidor glas, nice i övrigt"
SB-G301,SB,"3,5",4,5,3,6,1,FALSE,"Av nån anledning får man ett extra hörn på 2-3 kvadrat, detta gör också att rummet känns mycket rymligare än de andra. Litet extra bord ingår"
EG-3503,Edit (NC),"3,4",4,5,4,6,1,FALSE,"Första rummet till vänster, så varför börjar det på 3? Hmm. Dåliga bord för att vara NC, men de ekar om man slår på dem vilket låter kul"
EG-3507,Edit (NC),"3,4",4,5,4,4 av 6,1,FALSE,"Finns två extra stolarmstöd, dåligt med stolar, annars helt OK"
Grupprum 1,Kårhus,"3,4",4,1,3,6 av 12,1,FALSE,"Bra utsikt, saknas stolar, kan inte bokas så ofta, lite kallt"
